,Year,Province,"Gas Price
(CAD Cents per L)","CO2 Emissions
(Megatonnes)",,"Gas Price Difference
(CAD Cents per L)",,"CO2 Emissions Difference
(Megatonnes)"
,1990,Quebec,62.61666667,458.007408,,,,
,1991,Quebec,64.27916667,449.699173,,1.6625,,-8.308235
,1992,Quebec,60.65833333,463.521037,,-3.620833333,,13.821864
,1993,Quebec,58.24166667,463.993303,,-2.416666667,,0.472266
,1994,Quebec,55.94166667,478.267071,,-2.3,,14.273768
,1995,Quebec,57.49583333,490.95138,,1.554166667,,12.684309
,1996,Quebec,60.60416667,506.99962,,3.108333333,,16.04824
,1997,Quebec,61.62916667,521.278446,,1.025,,14.278826
,1998,Quebec,55.71666667,528.987104,,-5.9125,,7.708658
,1999,Quebec,62.25,543.729999,,6.533333333,,14.742895
,2000,Quebec,74.55,566.552294,,12.3,,22.822295
,2001,Quebec,73.85,559.042165,,-0.7,,-7.510129
,2002,Quebec,71.74583333,564.669174,,-2.104166667,,5.627009
,2003,Quebec,77.24166667,582.343586,,5.495833333,,17.674412
,2004,Quebec,86.39583333,580.758769,,9.154166667,,-1.584817
,2005,Quebec,96.91666667,575.852411,,10.52083333,,-4.906358
,2006,Quebec,101.5666667,571.409763,,4.65,,-4.442648
,2007,Quebec,105.3875,594.665366,,3.820833333,,23.255603
,2008,Quebec,119.4458333,579.367139,,14.05833333,,-15.298227
,2009,Quebec,97.70416667,546.610441,,-21.74166667,,-32.756698
,2010,Quebec,107.15,558.804007,,9.445833333,,12.193566
,2011,Quebec,129.2583333,569.870198,,22.10833333,,11.066191
,2012,Quebec,135.5125,569.262731,,6.254166667,,-0.607467
,2013,Quebec,136.05,573.698737,,0.5375,,4.436006
,2014,Quebec,134.9833333,570.563417,,-1.066666667,,-3.13532
,2015,Quebec,113.2666667,573.061376,,-21.71666667,,2.497959
,2016,Quebec,104.9125,559.566962,,-8.354166667,,-13.494414
,2017,Quebec,115.425,569.360436,,10.5125,,9.793474
,2018,Quebec,128.7083333,579.470372,,13.28333333,,10.109936
,2019,Quebec,122.5041667,582.389608,,-6.204166667,,2.919236
,2020,Quebec,104.9083333,535.82299,,-17.59583333,,-46.566618
