"Greenhouse gas emissions, Canada, 1990 to 2019",
,
Year,Total greenhouse gas emissions (megatonnes of carbon dioxide equivalent)
1990,602
1991,596
1992,614
1993,617
1994,638
1995,656
1996,679
1997,691
1998,697
1999,710
2000,734
2001,723
2002,727
2003,745
2004,746
2005,739
2006,730
2007,752
2008,736
2009,694
2010,703
2011,714
2012,717
2013,725
2014,723
2015,723
2016,707
2017,716
2018,728
2019,730
,
"Note: Data are presented as rounded figures. The national indicator tracks 7 greenhouse gases released by human activity: carbon dioxide, methane, nitrous oxide, sulphur hexafluoride, perfluorocarbons, hydrofluorocarbons and nitrogen trifluoride. Emission levels for some years have been revised in light of improvements to estimation methods and availability of new data. Emissions and removals from the land use, land use change and forestry sector (LULUCF) are excluded from national totals. to allow for a focus on greenhouse gas released from human activity only.",
Source: Environment and Climate Change Canada (2021) National Inventory Report 1990-2019: Greenhouse Gas Sources and Sinks in Canada (www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html).,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,
