REF_DATE,GEO,DGUID,Type of fuel,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1990-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.3,,,,1
1990-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,58.9,,,,1
1990-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,59.5,,,,1
1990-04,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.3,,,,1
1990-05,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,60.4,,,,1
1990-06,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.5,,,,1
1990-07,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.3,,,,1
1990-08,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,61.4,,,,1
1990-09,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,62.6,,,,1
1990-10,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,66.7,,,,1
1990-11,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,67.8,,,,1
1990-12,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,70.6,,,,1
1991-01,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,72.3,,,,1
1991-02,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,67.4,,,,1
1991-03,"Québec, Quebec",2011S0503421,Regular unleaded gasoline at self service filling stations,Cents per litre,57,units,0,v735095,6.2,63.4,,,,1
